transaction_id,timestamp,user_id,device_id,ip_id,merchant_id,amount,label
tx_000000,2025-01-01 00:00:00,u_00223,d_0609,ip_0075,m_0069,23.91,0
tx_000001,2025-01-01 00:15:00,u_01934,d_0392,ip_1585,m_0104,100.01,0
tx_000002,2025-01-01 00:30:00,u_01636,d_0936,ip_0470,m_0258,25.83,0
tx_000003,2025-01-01 00:45:00,u_01097,d_1193,ip_1564,m_0030,1143.15,0
tx_000004,2025-01-01 01:00:00,u_01082,d_0470,ip_1242,m_0032,183.55,0
tx_000005,2025-01-01 01:15:00,u_02146,d_1380,ip_0445,m_0090,168.31,0
tx_000006,2025-01-01 01:30:00,u_00214,d_1149,ip_1032,m_0180,187.18,0
tx_000007,2025-01-01 01:45:00,u_01743,d_0299,ip_0080,m_0242,271.65,0
tx_000008,2025-01-01 02:00:00,u_00503,d_1689,ip_1543,m_0168,394.71,0
tx_000009,2025-01-01 02:15:00,u_00235,d_0078,ip_0668,m_0148,31.08,0
tx_000010,2025-01-01 02:30:00,u_01316,d_1176,ip_0843,m_0261,550.14,0
tx_000011,2025-01-01 02:45:00,u_02439,d_0791,ip_0345,m_0051,515.85,0
tx_000012,2025-01-01 03:00:00,u_01839,d_1176,ip_0802,m_0270,138.89,0
tx_000013,2025-01-01 03:15:00,u_01902,d_1393,ip_0870,m_0093,131.8,0
tx_000014,2025-01-01 03:30:00,u_01793,d_1236,ip_0494,m_0082,6.67,0
tx_000015,2025-01-01 03:45:00,u_01965,d_1171,ip_2154,m_0286,42.78,0
tx_000016,2025-01-01 04:00:00,u_01283,d_1513,ip_0615,m_0193,249.35,0
tx_000017,2025-01-01 04:15:00,u_00320,d_1263,ip_0398,m_0129,493.05,0
tx_000018,2025-01-01 04:30:00,u_02099,d_1464,ip_1206,m_0099,307.61,0
tx_000019,2025-01-01 04:45:00,u_01125,d_0725,ip_0701,m_0132,137.59,0
tx_000020,2025-01-01 05:00:00,u_01250,d_0365,ip_0998,m_0237,1018.28,0
tx_000021,2025-01-01 05:15:00,ring_u_20_16,ring_d_20,ring_ip_20,ring_m_4,2623.45,1
tx_000022,2025-01-01 05:30:00,ring_u_18_8,ring_d_18,ring_ip_18,ring_m_2,97.14,1
tx_000023,2025-01-01 05:45:00,u_02316,d_0957,ip_1120,m_0091,1315.68,0
tx_000024,2025-01-01 06:00:00,u_01953,d_0138,ip_0047,m_0144,49.59,0
tx_000025,2025-01-01 06:15:00,u_01609,d_0367,ip_0096,m_0244,34.06,0
tx_000026,2025-01-01 06:30:00,u_01006,d_1741,ip_0203,m_0063,97.41,0
tx_000027,2025-01-01 06:45:00,u_02056,d_1307,ip_0355,m_0235,69.5,0
tx_000028,2025-01-01 07:00:00,u_01363,d_1358,ip_0768,m_0272,103.03,0
tx_000029,2025-01-01 07:15:00,u_01108,d_0354,ip_2057,m_0130,329.67,0
tx_000030,2025-01-01 07:30:00,u_01126,d_0115,ip_1993,m_0288,143.45,0
tx_000031,2025-01-01 07:45:00,u_00568,d_0524,ip_0226,m_0268,147.19,0
tx_000032,2025-01-01 08:00:00,u_00230,d_1542,ip_2180,m_0239,157.4,0
tx_000033,2025-01-01 08:15:00,u_01386,d_0911,ip_1397,m_0114,14.7,0
tx_000034,2025-01-01 08:30:00,u_02219,d_1412,ip_1218,m_0090,32.61,0
tx_000035,2025-01-01 08:45:00,u_00159,d_0876,ip_1743,m_0259,100.96,0
tx_000036,2025-01-01 09:00:00,u_02145,d_0882,ip_1065,m_0132,63.88,0
tx_000037,2025-01-01 09:15:00,u_02069,d_1081,ip_0583,m_0009,117.71,0
tx_000038,2025-01-01 09:30:00,u_00691,d_1726,ip_1165,m_0215,604.33,0
tx_000039,2025-01-01 09:45:00,u_01579,d_0787,ip_1595,m_0104,137.77,0
tx_000040,2025-01-01 10:00:00,u_00413,d_1072,ip_1501,m_0280,39.56,0
tx_000041,2025-01-01 10:15:00,u_01895,d_1655,ip_0373,m_0256,67.15,0
tx_000042,2025-01-01 10:30:00,u_01751,d_0670,ip_2063,m_0031,821.04,0
tx_000043,2025-01-01 10:45:00,u_00886,d_1511,ip_0626,m_0270,687.11,0
tx_000044,2025-01-01 11:00:00,u_00169,d_0963,ip_1803,m_0284,269.31,0
tx_000045,2025-01-01 11:15:00,u_02426,d_1582,ip_0686,m_0226,31.11,0
tx_000046,2025-01-01 11:30:00,u_01114,d_0842,ip_0139,m_0082,201.7,0
tx_000047,2025-01-01 11:45:00,u_02232,d_1133,ip_2192,m_0200,217.83,0
tx_000048,2025-01-01 12:00:00,u_01694,d_0581,ip_1295,m_0260,152.25,0
tx_000049,2025-01-01 12:15:00,u_01945,d_1143,ip_0472,m_0244,83.93,0
tx_000050,2025-01-01 12:30:00,u_01899,d_0587,ip_0000,m_0129,103.27,0
tx_000051,2025-01-01 12:45:00,u_00486,d_1096,ip_0284,m_0212,78.28,0
tx_000052,2025-01-01 13:00:00,u_00909,d_1419,ip_0373,m_0115,47.23,0
tx_000053,2025-01-01 13:15:00,u_01166,d_0782,ip_2036,m_0076,581.72,0
tx_000054,2025-01-01 13:30:00,u_01244,d_0772,ip_0389,m_0201,358.64,0
tx_000055,2025-01-01 13:45:00,u_00109,d_0579,ip_0356,m_0139,111.62,0
tx_000056,2025-01-01 14:00:00,u_01366,d_1314,ip_1843,m_0067,211.07,0
tx_000057,2025-01-01 14:15:00,u_00385,d_1065,ip_1934,m_0198,219.14,0
tx_000058,2025-01-01 14:30:00,u_01858,d_0929,ip_0459,m_0096,1545.16,0
tx_000059,2025-01-01 14:45:00,u_01707,d_0045,ip_1431,m_0176,355.16,0
tx_000060,2025-01-01 15:00:00,u_02306,d_0198,ip_1175,m_0108,341.99,0
tx_000061,2025-01-01 15:15:00,u_01861,d_0013,ip_1269,m_0265,154.16,0
tx_000062,2025-01-01 15:30:00,u_00916,d_1530,ip_0684,m_0255,96.12,0
tx_000063,2025-01-01 15:45:00,ring_u_0_6,ring_d_0,ring_ip_0,ring_m_0,84.58,1
tx_000064,2025-01-01 16:00:00,u_01027,d_0122,ip_1938,m_0213,284.94,0
tx_000065,2025-01-01 16:15:00,u_00814,d_0083,ip_1597,m_0053,64.75,0
tx_000066,2025-01-01 16:30:00,u_02263,d_1406,ip_1986,m_0299,233.66,0
tx_000067,2025-01-01 16:45:00,u_00926,d_0944,ip_0243,m_0064,342.88,0
tx_000068,2025-01-01 17:00:00,u_00190,d_0556,ip_1445,m_0260,18.25,0
tx_000069,2025-01-01 17:15:00,u_01173,d_1106,ip_2198,m_0253,59.0,0
tx_000070,2025-01-01 17:30:00,u_01989,d_0425,ip_1178,m_0053,213.31,0
tx_000071,2025-01-01 17:45:00,u_00473,d_0356,ip_2072,m_0002,21.66,0
tx_000072,2025-01-01 18:00:00,u_01157,d_0661,ip_0766,m_0221,25.38,0
tx_000073,2025-01-01 18:15:00,u_00324,d_1612,ip_1972,m_0260,113.24,0
tx_000074,2025-01-01 18:30:00,u_01716,d_1380,ip_2065,m_0214,242.63,0
tx_000075,2025-01-01 18:45:00,u_01189,d_0342,ip_1369,m_0016,254.11,0
tx_000076,2025-01-01 19:00:00,u_00825,d_1011,ip_1550,m_0193,722.27,0
tx_000077,2025-01-01 19:15:00,u_00567,d_1592,ip_1150,m_0117,161.14,0
tx_000078,2025-01-01 19:30:00,u_01411,d_1712,ip_0697,m_0274,102.24,0
tx_000079,2025-01-01 19:45:00,u_01674,d_1373,ip_1179,m_0240,40.15,0
tx_000080,2025-01-01 20:00:00,u_02350,d_0231,ip_2117,m_0239,101.03,0
tx_000081,2025-01-01 20:15:00,u_01092,d_0433,ip_0032,m_0122,301.13,0
tx_000082,2025-01-01 20:30:00,u_00401,d_0393,ip_0451,m_0096,315.05,0
tx_000083,2025-01-01 20:45:00,u_02081,d_0271,ip_1098,m_0246,193.37,0
tx_000084,2025-01-01 21:00:00,u_01574,d_0315,ip_0746,m_0034,256.5,0
tx_000085,2025-01-01 21:15:00,u_01750,d_0569,ip_1372,m_0030,531.86,0
tx_000086,2025-01-01 21:30:00,u_00243,d_0999,ip_0793,m_0018,160.02,0
tx_000087,2025-01-01 21:45:00,u_00780,d_0716,ip_1449,m_0153,582.49,0
tx_000088,2025-01-01 22:00:00,u_01919,d_0757,ip_0233,m_0022,71.76,0
tx_000089,2025-01-01 22:15:00,u_02080,d_0442,ip_0730,m_0174,137.92,0
tx_000090,2025-01-01 22:30:00,u_01088,d_0271,ip_1524,m_0050,91.76,0
tx_000091,2025-01-01 22:45:00,u_02011,d_1798,ip_1036,m_0267,327.9,0
tx_000092,2025-01-01 23:00:00,u_02104,d_1078,ip_1570,m_0129,53.81,0
tx_000093,2025-01-01 23:15:00,u_00968,d_0413,ip_1399,m_0028,107.58,0
tx_000094,2025-01-01 23:30:00,u_02245,d_1457,ip_0722,m_0208,23.11,0
tx_000095,2025-01-01 23:45:00,u_00720,d_1495,ip_0942,m_0101,268.91,0
tx_000096,2025-01-02 00:00:00,u_00598,d_1740,ip_2122,m_0078,516.35,0
tx_000097,2025-01-02 00:15:00,u_01706,d_0286,ip_2116,m_0197,368.97,0
tx_000098,2025-01-02 00:30:00,u_01591,d_1151,ip_0078,m_0286,334.5,0
tx_000099,2025-01-02 00:45:00,u_00349,d_1764,ip_1551,m_0293,343.57,0
tx_000100,2025-01-02 01:00:00,u_02081,d_1452,ip_1080,m_0130,298.78,0
